age,income,economic_status,employment,car_avail,bike_avail,pt_abo_avail,dist_group,main_mode,share
,2000 - 2600,,,,,,0 - 1000,pt,0.00047933120694804664
,2000 - 2600,,,,,,0 - 1000,ride,0.0005735427906518753
,2000 - 2600,,,,,,0 - 1000,walk,0.03452167922210745
,2000 - 2600,,,,,,1000 - 2000,bike,0.005944479382721511
,2000 - 2600,,,,,,1000 - 2000,car,0.003576361720079578
,2000 - 2600,,,,,,1000 - 2000,pt,0.0031813927421609307
,2000 - 2600,,,,,,1000 - 2000,ride,0.0012975105462565144
,2000 - 2600,,,,,,1000 - 2000,walk,0.007096477896365713
,2000 - 2600,,,,,,2000 - 5000,bike,0.007824784459075218
,2000 - 2600,,,,,,2000 - 5000,car,0.007802538183538487
,2000 - 2600,,,,,,2000 - 5000,pt,0.010344283431731521
,2000 - 2600,,,,,,2000 - 5000,ride,0.0023245759823558292
,2000 - 2600,,,,,,2000 - 5000,walk,0.0017995572656591457
,2000 - 2600,,,,,,5000 - 10000,bike,0.0035725992123135444
,2000 - 2600,,,,,,5000 - 10000,car,0.008442749504628805
,2000 - 2600,,,,,,5000 - 10000,pt,0.01155232596588037
,2000 - 2600,,,,,,5000 - 10000,ride,0.0016149032313883922
,2000 - 2600,,,,,,5000 - 10000,walk,0.0003091502890405365
,2000 - 2600,,,,,,10000 - 20000,bike,0.0009285455332542868
,2000 - 2600,,,,,,10000 - 20000,car,0.005795857865928424
,2000 - 2600,,,,,,10000 - 20000,pt,0.008778983578839283
,2000 - 2600,,,,,,10000 - 20000,ride,0.0009886154568520366
,2000 - 2600,,,,,,10000 - 20000,walk,5.338638259674346e-05
,2000 - 2600,,,,,,20000+,bike,4.683860177461387e-05
,2000 - 2600,,,,,,20000+,car,0.0032611234385663494
,2000 - 2600,,,,,,20000+,pt,0.003491960894045404
,2000 - 2600,,,,,,20000+,ride,0.0006791418050425238
,2000 - 2600,,,,,,20000+,walk,2.779398791394461e-05
,2600 - 3000,,,,,,0 - 1000,bike,0.004084223848754118
,2600 - 3000,,,,,,0 - 1000,car,0.0011359892211911054
,2600 - 3000,,,,,,0 - 1000,pt,0.00036942393427873756
,2600 - 3000,,,,,,0 - 1000,ride,0.00036545268506301196
,2600 - 3000,,,,,,0 - 1000,walk,0.02263782024262488
,2600 - 3000,,,,,,1000 - 2000,bike,0.004556881108570422
,2600 - 3000,,,,,,1000 - 2000,car,0.0023989736518997503
,2600 - 3000,,,,,,1000 - 2000,pt,0.0017919075730422201
,2600 - 3000,,,,,,1000 - 2000,ride,0.0010136460995469466
,2600 - 3000,,,,,,1000 - 2000,walk,0.00515205526145704
,2600 - 3000,,,,,,2000 - 5000,bike,0.00552167545658979
,2600 - 3000,,,,,,2000 - 5000,car,0.005039544820023574
,2600 - 3000,,,,,,2000 - 5000,pt,0.006964572917813233
,2600 - 3000,,,,,,2000 - 5000,ride,0.0017460713988484088
,2600 - 3000,,,,,,2000 - 5000,walk,0.0013467572034831475
,2600 - 3000,,,,,,5000 - 10000,bike,0.0025207374335703358
,2600 - 3000,,,,,,5000 - 10000,car,0.005392219484126
,2600 - 3000,,,,,,5000 - 10000,pt,0.007915112634375571
,2600 - 3000,,,,,,5000 - 10000,ride,0.0014469122270612453
